item_code,item_description,supplier_name,code
157,Direct Fix Clip - Masonary suit # 155             ,RONDO,16030
159,Primary to # 155 F/C Joiner                       ,RONDO,16030
166,Clip D.F. For T.C.R.                              ,RONDO,16030
167,Tcr Side Mount Clip                               ,RONDO,16030
188,Bracket Wall Angle Junction                       ,RONDO,16010
20002700,92mm MAXIJamb Stud 1.20Bmt 2700                   ,RONDO,16010
20002800,92mm MAXIjamb Stud 1.20Bmt 2800                   ,RONDO,16010
20003000,92mm MAXIjamb Stud 1.20Bmt 3000                   ,RONDO,16010
20003200,92mm MAXIjamb Stud 1.20Bmt 3200                   ,RONDO,16010
20003600,92mm MAXIjamb Stud 1.20Bmt 3600                   ,RONDO,16010
20004200,92mm MAXIJamb Stud 1.20Bmt 4200                   ,RONDO,16010
20004350,92mm MAXIjamb Stud 1.20Bmt 4350                   ,RONDO,16010
20004500,92mm MAXIJamb Stud 1.20Bmt 4500                   ,RONDO,16010
20004800,92mm MAXIJamb Stud 1.20Bmt 4800                   ,RONDO,16010
20005100,92mm MAXIJamb Stud 1.20Bmt 5100                   ,RONDO,16010
20006000,92mm MAXIJamb Stud 1.20Bmt 6000                   ,RONDO,16010
2007760,"Drywall screw S-DD01Z 3,5x45                      ",RONDO,13010
2007784,"Drywall Screw S-DS01Y 3,5x25M                     ",RONDO,16010
201,92mm x 3.0mm Base Bracket                         ,RONDO,16010
202,92mm x 1.5mm Sill Bracket                         ,RONDO,16010
203,92mm x 3.0mm Slotted Head Bracket                 ,RONDO,16010
20403000,MAXIJamb Stud 150mmx1.20Bmt 3000                  ,RONDO,16010
20403600,MAXIjamb Stud 150mmx1.20 Bmt 3600                 ,RONDO,16010
20404100,MAXIjamb Stud 150mmx1.20Bmt 4100                  ,RONDO,16010
20404200,MAXIjamb Stud 150mmx1.20Bmt 4200                  ,RONDO,16010
20404800,MAXIjamb Stud 150mmx1.20Bmt 4800                  ,RONDO,16010
20406000,MAXIjamb Stud 150mmx1.20Bmt 6000                  ,RONDO,16010
205,150mmx3mm Base Brkt (Maxiframe System)            ,RONDO,16010
206,70mm x 43mm x 145mm Sill Bkt suit 150mm Maxiframe ,RONDO,16010
207,150mmx3.0mm Slotted Hd Brkt (Maxiframe Syst       ,RONDO,16010
212,64mm(h)x50mm(w)x145mm(l) For Ø6 Cert-R-Fix        ,RONDO,16030
214036000300,64mm Dbl Punched Nogging Track 300 Centres 3600   ,RONDO,16010
214036000400,64mm Dbl Punched Nogging Track 400mm Centres 3600 ,RONDO,16010
214036000450,64mm Dbl Punched Nogging Track 450mm Centres 3600 ,RONDO,16010
214036000600,64mm Dbl Punched Nogging Track 600 Centres 3600   ,RONDO,16010
215036000300,76mm Dbl Punched Nogging Track 300 Centres 3600   ,RONDO,16010
215036000400,76mm Dbl Punched Nogging Track 400 Centres 3600   ,RONDO,16010
215036000450,76mm Dbl Punched Nogging Track 450 Centres 3600   ,RONDO,16010
215036000600,76mm Dbl Punched Nogging Track 600 Centres 3600   ,RONDO,16010
216036000300,92mm Double Punched Nogging Track 300 Centres 3600,RONDO,16010
216036000400,92mm Double Punched Nogging Track 400 Centres 3600,RONDO,16010
216036000450, 92mm Dbl Punch Nog Trk 0.70Bmt 450c 3600         ,RONDO,16010
216036000600,92mm Double Punched Nogging Track 600 Centres 3600,RONDO,16010
217036000300,150mm Dbl Punched Nogging Track 300 Centres 3600  ,RONDO,16010
217036000400,150mm Dbl Punched Nogging Track 400 Centres 3600  ,RONDO,16010
217036000450,150mm Dbe Punch Nog Trk  0.75Bmt 450c 3600        ,RONDO,16010
217036000600,150mm Dbl Punch Nog Trk 600 Centres 3600          ,RONDO,16010
222019600300,Fast Fix Nogging 300ctrs 0.70bmt                  ,RONDO,16010
222019600400,Fast Fix Noggings 400ctr .070bmt                  ,RONDO,16010
222019600450,Fast Fix Nogging 450ctrs - 0.70bmt                ,RONDO,16010
222019600600,Fast Fix Nogging 600ctrs 1960                     ,RONDO,16010
224,64mm Stud To F/Channel Br                         ,RONDO,16010
226,Clip D.F. For Furring Channel                     ,RONDO,16030
231,Clip Interchange 440-1                            ,RONDO,16030
237,Clip Anchor Furring Channel                       ,RONDO,16030
238,Swivel TCR/FC Joiner                              ,RONDO,16030
239,Clip Anchor With Nut F/C                          ,RONDO,16030
242D,Radiused Alum. S/L Wall Angle @ Random Dia.'s     ,RONDO,16040
242D1200,Radiused Alum. S/L Wall Angle                     ,RONDO,16040
242D450,Radiused Alum. S/L Wall Angle 450mm Dia.          ,RONDO,16040
242D600,Radiused Alum. S/L Wall Angle 600mm Dia           ,RONDO,16040
242R3600,Radiused Alum. S/L Wall Angle                     ,RONDO,16040
243D,Radiused Alum. Wall Angle - Random Dia.'s         ,RONDO,16040
243D1200,Radiused Alum. Wall Angle                         ,RONDO,16040
243D450,Radius Alum. Wall Angle 450mm Dia                 ,RONDO,16040
243D600,Radius Alum. Wall Angle 600mm Dia                 ,RONDO,16040
243R3600,Radius Alum. Wall Angle                           ,RONDO,16040
247,Bracket Angle For Susp.Rod                        ,RONDO,16010
249,60mm x 25mm x 21mm Bkt 121 Rod t                  ,RONDO,16030
25003000,Track 92mm X 0.50 Bmt 3000                        ,RONDO,16010
25003600,Track 92mm X 0.50 Bmt 3600 *SPECIAL ORDER*        ,RONDO,16010
25102400,Stud 92mm X 0.55 Bmt 2400                         ,RONDO,16010
25102700,Stud 92mm X 0.55 Bmt 2700                         ,RONDO,16010
25102740,Stud 92mm X 0.55 Bmt 2740                         ,RONDO,16010
25102750,Stud 92mm x 0.55Bmt 2750                          ,RONDO,16010
25102770,Stud 92mm X 0.55 Bmt 2770                         ,RONDO,16010
25102775,Stud 92mm X 0.55 Bmt 2775                         ,RONDO,16010
25102800 (SPEC),Stud 92mm X 0.55 Bmt 2800 (SPEC)                  ,RONDO,16010
25102850 (SPEC),Stud 92mm X 0.55 Bmt 2850 (SPEC)                  ,RONDO,16010
25102880,92mmx36mm Steel Stud - 0.55bmt @ 2880mm           ,RONDO,16010
25102935,92mm x 36mm Steel Stud - 0.55bmt @ 2935mm         ,RONDO,16010
